Production_company,Average number of votes
7 Films CinÃ©ma	2356.4
7 Network	284.0
7 Pictures	4676.0
7 Spirits Entertainment	150.0
7.23 Productions	272.5
72 Film	703.0
72nd Street Productions	7306.0
73140323 Producciones CinematogrÃ¡ficas	578.0
75 Films	560.0
777 Films Corporation	12614.0
7A Productions	106.0
7Films7	166.0
7IA	150.0
7e Apache Film	168.0
7even Entertainment	1698.0
7i Tehni	160.0
7th Voyage	2902.0
8 Ball Stunts of Hollywood	294.0
88 Productions	10260.0
888 Productions	79951.0
900 Films	11384.0
98 MPH Productions	30445.0
99 Film Production & Development Corp.	198.0
99 Ways Entertainment	165.0
9Y6S Film	132.0
@Movie Japan K.K.	139.0
A & S Productions	519.5
A + C Reuter New Cinema	1658.0
A Atalanta	1232.5
A Bad Way Ltd.	2467.0
A Band Apart	12167.0
A Bigger Boat	63495.0
A Common Thread	158.0
A Contraluz Films	181.0
A ExceÃ§Ã£o e a Regra	382.0
A Fire in the Lake	817.0
A Forbidden Love Film Partnership	153.0
A Happy Place	3905.0
A Hill-Gordon-Silver Production	16509.0
A Lucky Old Sun Production	9359.0
A Million Monkeys	1857.5
A Plus Entertainment	1136.25
A Private Slyde Productions	576.0
A Private View	920.1428571428571
A Slice of Pie Productions LLC	148.0
A Space Between	175.0
A Studios	613.0
A The Entertainment Group	1127.0
A The Personals Production	106.0
A Vicious Circle	391.0
A Vogue & Cline production	206.0
A Wandering Star	681.0
A Winter's Tale Inc.	120.0
A&G	813.0
A&M Films	10088.7
A&M Sound Pictures	328.0
A-1 Kino Video	3282.0
A-A Productions	111.0
A-C Productions	880.0
A-Channel Drama Fund	227.0
A-Erre Cinematografica	178.0
A-Mark Entertainment	6344.75
A-N Production Committee	153.0
A-One Cinema	168.0
A-Pix Entertainment	533.6
A-Post Pictures	1326.0
A-Punto ELSA	403.0
A-S Panorama International Films Inc.	148.0
A-SI Films	794.0
A-Team	6921.25
A. Deshe	115.0
A. Film	646.0
A. Llorens OlivÃ© Producciones CinematogrÃ¡ficas S.A.	455.0
A.A. Les Films Belge	203.0
A.A. Productions Ltd.	85279.0
A.A.C. Production	122.0
A.B.A. Film Corporation	232.0
A.C. Lyles Productions	467.35714285714283
A.C.E. Films	636.0
A.D. Creation	5397.0
A.D.I. Inc.	2344.0
A.E.C. Filmproduktions GmbH & Co. Beteiligungs-GmbH	136.0
A.F. Cinema e VÃ­deo	235.66666666666666
A.G. Films P.	812.0
A.G. Films	16282.4
A.G.&S.	210.0
A.I.A. Productions	320.0
A.J. Films	344.0
A.J. Productions	344.5
A.J.O.Z. Films	2140.6666666666665
A.K. Films	368.0
A.K. International	397.0
A.K. Movies	275.0
A.M. Trading International S.r.l.	1045.0
A.M.A	1019.0
A.M.A. Film	2275.3636363636365
A.N.A.	320.0
A.N.P.A. (Agence Nationale de Promotion de l'Audiovisuel)	790.0
A.P. Dovzenko Filmstudio	2061.0
A.P.P.P.	1055.0
A.Pictures Film & TV Production	940.0
A.R. Movies	4353.0
A.R. Shipman Productions	206.0
A.S.L.K. (Algemene Spaar en Lijfrente Kas)	183.0
A.S.P.	218.5
A.T.I.C.A.	326.3333333333333
A.V.H. San Luis	3656.0
A.V.M. Productions	3841.6
A.W. Hackel Productions	205.0
A.W.O.L. Studios	261.0
A/S Elan Film	412.0
AAA Pictures	164.0
AAA Productions	1415.0
AAMPI Inc.	6769.0
AAR Films	227.0
AARU Productions	3227.5
AB Films	171.0
AB Svensk Industrie	345.0
AB	149.0
AB-PT Pictures Corp.	1747.0
AB3	347.0
ABA Productions	508.0
ABA Studio	270.0
ABC Circle Films	288.0
ABC Entertainment	11214.0
ABC Film A/S	355.0
ABC Motion Pictures	8765.42857142857
ABC Pictures Corporation	1205.0
ABC Pictures International	596.0
ABC Pictures	8894.6
ABC Productions	12663.0
ABC of Love and Sex Film Productions	100.0
ABKCO Films	16880.5
ABS-CBN Film Productions	230.3
ABS-CBN International	265.0
ABS-CBN	169.0
AC Create	141.0
