Twentieth Century Fox,Jitterbugs
William Cagney Productions,Johnny Come Lately
Harry Sherman Productions,The Kansan
Suomen Filmiteollisuus,Katariina ja Munkkiniemen kreivi
Sam Katzman Productions,Kid Dynamite
Republic Pictures (I),King of the Cowboys
Frank Ross Productions,A Lady Takes a Chance
Alexander-Stern Productions,Lady from Chungking
Hunt Stromberg Productions,Lady of Burlesque
Two Cities Films,The Lamp Still Burns
Metro-Goldwyn-Mayer (MGM),Lassie Come Home
Harry Sherman Productions,Leather Burners
RKO Radio Pictures,The Leopard Man
Metro-Goldwyn-Mayer (MGM),Lost Angel
Universal Pictures,The Mad Ghoul
Gainsborough Pictures,The Man in Grey
Twentieth Century Fox,Margin for Error
Republic Pictures Corporation (I),The Masked Marvel
Twentieth Century Fox,The Meanest Man in the World
Warner Bros.,Mission to Moscow
Twentieth Century Fox,The Moon Is Down
Columbia Pictures,The More the Merrier
RKO Radio Pictures,Mr. Lucky
Twentieth Century Fox,My Friend Flicka
Warner Bros.,The Mysterious Doctor
Monogram Pictures,The Mystery of the 13th Guest
Universum Film (UFA),MÃ¼nchhausen
Columbia Pictures,A Night to Remember
Ealing Studios,Nine Men
Paramount Pictures,No Time for Love
The Samuel Goldwyn Company,The North Star
Warner Bros.,Northern Pursuit
Warner Bros.,Old Acquaintance
Twentieth Century Fox,The Ox-Bow Incident
Columbia Pictures,Passport to Suez
Jack Schwarz Productions,The Pay Off
RKO Radio Pictures,Petticoat Larceny
Universal Pictures,Phantom Lady
Universal Pictures,Phantom of the Opera
Columbia Pictures,The Phantom
Metro-Goldwyn-Mayer (MGM),Pilot #5
Columbia Pictures,Power of the Press
Metro-Goldwyn-Mayer (MGM),Presenting Lily Mars
Warner Bros.,Princess O'Rourke
Columbia Pictures,Reveille with Beverly
Monogram Pictures,Revenge of the Zombies
Tobis Filmkunst,Romanze in Moll
Columbia Pictures,Sahara
RKO Radio British Productions,The Saint Meets the Tiger
RKO Radio Pictures,The Seventh Victim
Universal Pictures,Shadow of a Doubt
Universal Pictures,Sherlock Holmes Faces Death
Universal Pictures,Sherlock Holmes in Washington
Republic Pictures (I),Silver Spurs
RKO Radio Pictures,The Sky's the Limit
Metro-Goldwyn-Mayer (MGM),Slightly Dangerous
Paramount Pictures,So Proudly We Hail!
Jack Votion Productions Inc.,So This Is Washington
Universal Pictures,Son of Dracula
Twentieth Century Fox,The Song of Bernadette
Republic Pictures (I),Song of Texas
Sol Lesser Productions,Stage Door Canteen
Metro-Goldwyn-Mayer (MGM),Stand by for Action
Twentieth Century Fox,Stormy Weather
Metro-Goldwyn-Mayer (MGM),A Stranger in Town
Toho Company,Sugata SanshirÃ´
Sol Lesser Productions,Tarzan Triumphs
RKO Radio Pictures,Tender Comrade
Metro-Goldwyn-Mayer (MGM),Tennessee Johnson
Warner Bros.,Thank Your Lucky Stars
Hal Roach Studios,Nazty Nuisance
Twentieth Century Fox,They Came to Blow Up America
The Samuel Goldwyn Company,They Got Me Covered
Marcel Hellman Productions,They Met in the Dark
Warner Bros.,This Is the Army
Jean-Renoir- Dudly Nichols Productions,This Land Is Mine
Metro-Goldwyn-Mayer (MGM),Thousands Cheer
Metro-Goldwyn-Mayer (MGM),Three Hearts for Julia
Twentieth Century Fox,Tonight We Raid Calais
Continentalcine,L'uomo dalla croce
Continental Films,Le val d'enfer
Palladium Productions,Vredens dag
Gainsborough Pictures,We Dive at Dawn
Walter Wanger Productions,We've Never Been Licked
Columbia Pictures,What a Woman!
Republic Pictures (I),Whispering Footsteps
Metro-Goldwyn-Mayer (MGM),Whistling in Brooklyn
Universal Pictures,White Savage
Twentieth Century Fox,Wintertime
Herbert Wilcox Productions,Yellow Canary
Metro-Goldwyn-Mayer (MGM),Young Ideas
Metro-Goldwyn-Mayer (MGM),The Youngest Profession
Films AndrÃ© PaulvÃ©,L'Ã©ternel retour
Gainsborough Pictures,Two Thousand Women
Columbia Pictures,Address Unknown
Warner Bros.,The Adventures of Mark Twain
Universal Pictures,Ali Baba and the Forty Thieves
Metro-Goldwyn-Mayer (MGM),An American Romance
Paramount Pictures,And Now Tomorrow
Metro-Goldwyn-Mayer (MGM),Andy Hardy's Blonde Trouble
Warner Bros.,Arsenic and Old Lace
Metro-Goldwyn-Mayer (MGM),Barbary Coast Gent
Metro-Goldwyn-Mayer (MGM),Bathing Beauty
International Pictures (I),Belle of the Yukon
Metro-Goldwyn-Mayer (MGM),Between Two Women
Warner Bros.,Between Two Worlds
Twentieth Century Fox,The Big Noise
Metro-Goldwyn-Mayer (MGM),Blonde Fever
Producers Releasing Corporation (PRC),Bluebeard
Republic Pictures (I),Brazil
RKO Radio Pictures,Bride by Mistake
Benedict Bogeaus Production,The Bridge of San Luis Rey
Metro-Goldwyn-Mayer (MGM),Broadway Rhythm
Twentieth Century Fox,Buffalo Bill
Universal Pictures,Can't Help Singing
British Aviation Pictures,Candlelight in Algeria
International Pictures (I),Casanova Brown
Ealing Studios,Champagne Charlie
Monogram Pictures,Black Magic
Monogram Pictures,Charlie Chan in the Secret Service
Monogram Pictures,Charlie Chan in The Chinese Cat
Universal Pictures,Christmas Holiday
CompaÃ±Ã­a Industrial Film EspaÃ±ol S.A. (CIFESA),El clavo
Universal Pictures,The Climax
Universal Pictures,Cobra Woman
Warner Bros.,The Conspirators
Columbia Pictures,Cover Girl
Republic Pictures Corporation (I),Cowboy and the Senorita
Warner Bros.,Crime by Night
Columbia Pictures,Cry of the Werewolf
Continental Films,CÃ©cile est morte!
Pine-Thomas Productions,Dangerous Passage
Pine-Thomas Productions,Dark Mountain
Benedict Bogeaus Production,Dark Waters
RKO Radio Pictures,Days of Glory
Universal Pictures,Dead Man's Eyes
American Productions Inc.,Delinquent Daughters
Warner Bros.,The Desert Song
Monogram Pictures,Adventures of Kitty O'Day
Two Cities Films,Don't Take It to Heart!
Pine-Thomas Productions,Double Exposure
Paramount Pictures,Double Indemnity
Warner Bros.,The Doughgirls
Two Cities Films,English Without Tears
Twentieth Century Fox,The Eve of St. Mark
RKO Radio Pictures,Experiment Perilous
RKO Radio Pictures,The Falcon Out West
RKO Radio Pictures,The Falcon in Hollywood
RKO Radio Pictures,The Falcon in Mexico
Gainsborough Pictures,Fanny by Gaslight
Terra-Filmkunst,Die Feuerzangenbowle
Republic Pictures (I),The Fighting Seabees
Twentieth Century Fox,Four Jills in a Jeep
Paramount Pictures,Frenchman's Creek
Metro-Goldwyn-Mayer (MGM),Gaslight
Metro-Goldwyn-Mayer (MGM),Gentle Annie
Universal Pictures,Ghost Catchers
RKO Radio Pictures,Gildersleeve's Ghost
RKO Radio Pictures,Girl Rush
Republic Pictures (I),The Girl Who Dared
The Samuel Goldwyn Company,The Best Years of Our Lives
Paramount Pictures,Going My Way
Paramount Pictures,The Great Moment
Twentieth Century Fox,Greenwich Village
Terra-Filmkunst,Grosse Freiheit Nr. 7
Paramount Pictures,Hail the Conquering Hero
Mayfair Productions Inc.,The Hairy Ape
Two Cities Films,The Chronicle History of King Henry the Fifth with His Battell Fought at Agincourt in France
Paramount Pictures,Here Come the Waves
Svensk Filmindustri (SF),Hets
RKO Radio Pictures,Higher and Higher
Paramount Pictures,The Hitler Gang
Warner Bros.,Hollywood Canteen
Twentieth Century Fox,Home in Indiana
Paramount Pictures,The Hour Before the Dawn
Universal Pictures,House of Frankenstein
Producers Releasing Corporation (PRC),I'm from Arkansas
Toho Company,Ichiban utsukushiku
Columbia Pictures,The Impatient Years
Warner Bros.,In Our Time
Universal Pictures,The Invisible Man's Revenge
Arnold Pressburger Films,It Happened Tomorrow
Twentieth Century Fox,Jane Eyre
Warner Bros.,Janie
King Brothers Productions,Johnny Doesn't Live Here Anymore
Universal Pictures,Jungle Woman
Shochiku,Kanko no machi
Twentieth Century Fox,The Keys of the Kingdom
Metro-Goldwyn-Mayer (MGM),Kismet
Republic Pictures (I),The Lady and the Monster
Paramount Pictures,Lady in the Dark
Jack Schwarz Productions,Lady in the Death House
Warner Bros.,The Last Ride
Twentieth Century Fox,Laura
Twentieth Century Fox,Lifeboat
Twentieth Century Fox,The Lodger
Metro-Goldwyn-Mayer (MGM),Lost in a Harem
Gainsborough Pictures,Love Story
Harry Sherman Productions,Lumberjack
RKO Radio Pictures,Mademoiselle Fifi
Gainsborough Pictures,Madonna of the Seven Moons
Metro-Goldwyn-Mayer (MGM),Main Street After Dark
RKO Radio Pictures,Marine Raiders
Larry Darmour Productions,The Mark of the Whistler
Metro-Goldwyn-Mayer (MGM),Marriage Is a Private Affair
Films Mundiales,MarÃ­a Candelaria (Xochimilco)
Warner Bros.,The Mask of Dimitrios
RKO Radio Pictures,The Master Race
Metro-Goldwyn-Mayer (MGM),Meet Me in St. Louis
Metro-Goldwyn-Mayer (MGM),Meet the People
Tobis Portuguesa,A Menina da RÃ¡dio
Sam Katzman Productions,Million Dollar Kid
Paramount Pictures,Ministry of Fear
Paramount Pictures,The Miracle of Morgan's Creek
Columbia Pictures,The Missing Juror
Shochiku,Miyamoto Musashi
Sigmund Neufeld Productions,The Monster Maker
Twentieth Century Fox,Moss Rose
Warner Bros.,Mr. Skeffington
Columbia Pictures,Mr. Winkle Goes to War
Metro-Goldwyn-Mayer (MGM),Mrs. Parkington
Universal Pictures Corporation,The Mummy's Curse
Universal Pictures,The Mummy's Ghost
Universal Pictures,Murder in the Blue Room
Metro-Goldwyn-Mayer (MGM),Music for Millions
Sigmund Neufeld Productions,Nabonga
Metro-Goldwyn-Mayer (MGM),National Velvet
RKO Radio Pictures,Nevada
RKO Radio Pictures,A Night of Adventure
RKO Radio Pictures,None But the Lonely Heart
Columbia Pictures,None Shall Escape
Metro-Goldwyn-Mayer (MGM),Nothing But Trouble
Sigmund Neufeld Productions,Oath of Vengeance
Independent Producers,On Approval
Columbia Pictures,Once Upon a Time
Pine-Thomas Productions,One Body Too Many
Columbia Pictures,One Mysterious Night
Universum Film (UFA),Opfergang
Paramount Pictures,Our Hearts Were Young and Gay
Warner Bros.,Passage to Marseille
RKO Radio Pictures,Passport to Destiny
Universal Pictures,The Pearl of Death
Twentieth Century Fox,Pin Up Girl
Gainsborough Pictures,A Place of One's Own
Paramount Pictures,Practically Yours
Twentieth Century Fox,The Purple Heart
Kievskaya Kinostudiya (Kiev Film Studio),Raduga
Chamun Productions,The Rats of Tobruk
Sam Katzman Productions,Return of the Ape Man
Columbia Pictures,The Return of the Vampire
Harry Sherman Productions,Riders of the Deadline
Shochiku Ofuna,Rikugun
Universal Pictures,The Scarlet Claw
Terneen Productions,Secret Command
RKO Radio Pictures,Seven Days Ashore
Alexander-Stern Productions,Seven Doors to Death
Metro-Goldwyn-Mayer (MGM),The Seventh Cross
Warner Bros.,Shine on Harvest Moon
RKO Radio Pictures,Show Business
Twentieth Century Fox,Something for the Boys
Charles R. Rogers Productions,Song of the Open Road
Columbia Pictures,The Soul of a Monster
Universal Pictures,The Spider Woman
Paramount Pictures,Standing Room Only
RKO Radio Pictures,Step Lively
Paramount Pictures,The Story of Dr. Wassell
Republic Pictures (I),Strangers in the Night
Twentieth Century Fox,The Sullivans
Angelus Pictures,Summer Storm
Twentieth Century Fox,Sunday Dinner for a Soldier
Universal Pictures,The Suspect
Twentieth Century Fox,Sweet and Low-Down
Metro-Goldwyn-Mayer (MGM),Swing Fever
Sigmund Neufeld Productions,Swing Hostess
RKO Radio Pictures,Tall in the Saddle
Ealing Studios,They Came to a City
Metro-Goldwyn-Mayer (MGM),The Thin Man Goes Home
Metro-Goldwyn-Mayer (MGM),Thirty Seconds Over Tokyo
Two Cities Films,This Happy Breed
Metro-Goldwyn-Mayer (MGM),3 Men in White
Paramount Pictures,Till We Meet Again
Warner Bros.,To Have and Have Not
Columbia Pictures,Together Again
EspaÃ±a Films,La torre de los siete jorobados
Roth-Greene-Rouse Productions,The Town Went Wild
Metro-Goldwyn-Mayer (MGM),Two Girls and a Sailor
Warner Bros.,Uncertain Glory
Paramount Pictures,The Uninvited
The Samuel Goldwyn Company,Up in Arms
Edward Small Productions,Up in Mabel's Room
Warner Bros.,The Very Thought of You
Ripley/Monter Productions,Voice in the Wind
Sam Katzman Productions,Voodoo Man
Alexander-Stern Productions,Waterfront
Gainsborough Pictures,Waterloo Road
Two Cities Films,The Way Ahead
Universal Pictures,Weird Woman
King Brothers Productions,When Strangers Marry
Larry Darmour Productions,The Whistler
Metro-Goldwyn-Mayer (MGM),The White Cliffs of Dover
Twentieth Century Fox,Wilson
Twentieth Century Fox,Wing and a Prayer
Twentieth Century Fox,Winged Victory
Christie Corporation,The Woman in the Window
Harry Sherman Productions,The Woman of the Town
Republic Pictures Corporation (I),The Yellow Rose of Texas
RKO Radio Pictures,Youth Runs Wild
Metro-Goldwyn-Mayer (MGM),Bud Abbott and Lou Costello in Hollywood
Metro-Goldwyn-Mayer (MGM),Adventure
Larry Darmour Productions,Adventures of Rusty
Hal Wallis Productions,The Affairs of Susan
Monogram Pictures,Allotment Wives
International Pictures (I),Along Came Jones
Metro-Goldwyn-Mayer (MGM),Anchors Aweigh
Rene Clair Productions,And Then There Were None
Sigmund Neufeld Productions,Apology for Murder
RKO Radio Pictures,Back to Bataan
Andrew L. Stone Productions,Bedside Manner
Twentieth Century Fox,A Bell for Adano
Republic Pictures (I),Bells of Rosarita
Rainbow Productions,The Bells of St. Mary's
RKO Radio Pictures,Betrayal from the East
Metro-Goldwyn-Mayer (MGM),Bewitched
William Cagney Productions,Blood on the Sun
RKO Radio Pictures,The Body Snatcher
Columbia Pictures,Boston Blackie Booked on Suspicion
Columbia Pictures,Boston Blackie's Rendezvous
Edward Small Productions,Brewster's Millions
Cineguild,Brief Encounter
RKO Radio Pictures,The Brighton Strangler
Producciones RaÃºl de Anda,CampeÃ³n sin corona
Benedict Bogeaus Production,Captain Kidd
Gainsborough Pictures,Caravan
Republic Pictures (I),The Cheaters
RKO Radio Pictures,China Sky
Warner Bros.,Christmas in Connecticut
Twentieth Century Fox,Colonel Effingham's Raid
Warner Bros.,Confidential Agent
Warner Bros.,Conflict
Warner Bros.,The Corn Is Green
RKO Radio Pictures,Cornered
Columbia Pictures,Counter-Attack
Larry Darmour Productions,The Crime Doctor's Courage
Larry Darmour Productions,The Crime Doctor's Warning
Republic Pictures (I),Dakota
Les Films Raoul Ploquin,Les dames du Bois de Boulogne
Warner Bros.,Danger Signal
Metro-Goldwyn-Mayer (MGM),Dangerous Partners
Hunt Stromberg Productions,Delightfully Dangerous
Producers Releasing Corporation (PRC),Detour
Twentieth Century Fox,Diamond Horseshoe
RKO Radio Pictures,Dick Tracy
King Brothers Productions,Dillinger
Sam Katzman Productions,Docks of New York
Twentieth Century Fox,Doll Face
Twentieth Century Fox,The Dolly Sisters
Edgar Neville,Domingo de carnaval
Republic Pictures (I),Don't Fence Me In
Paramount Pictures,Duffy's Tavern
RKO Radio Pictures,The Enchanted Cottage
Producers Releasing Corporation (PRC),The Enchanted Forest
SociÃ©tÃ© Nouvelle PathÃ© CinÃ©ma,Les enfants du paradis
Columbia Pictures,Escape in the Fog
Columbia Pictures,Eve Knew Her Apples
RKO Radio Pictures,The Falcon in San Francisco
Twentieth Century Fox,Fallen Angel
Monogram Pictures,Fashion Model
RKO Radio Pictures,First Yank Into Tokyo
Republic Pictures (I),Flame of Barbary Coast
Producers Releasing Corporation (PRC),Fog Island
Terrafilm,Fram fÃ¶r lilla MÃ¤rta eller PÃ¥ livets Ã¶desvÃ¤gar
Fessier Pagano Productions,Frontier Gal
Universal Pictures,The Frozen Ghost
RKO Radio Pictures,Genius at Work
RKO Radio Pictures,George White's Scandals
Edward Small Productions,Getting Gertie's Garter
Warner Bros.,God Is My Co-Pilot
RKO Radio Pictures,Great Day
W. Lee Wilder Productions,The Great Flamarion
Greentree Productions,Guest Wife
Twentieth Century Fox,Hangover Square
RKO Radio Pictures,Having Wonderful Crime
Metro-Goldwyn-Mayer (MGM),Her Highness and the Bellboy
Universal Pictures,Here Come the Co-eds
Metro-Goldwyn-Mayer (MGM),The Hidden Eye
Producers Releasing Corporation (PRC),Hollywood and Vine
Warner Bros.,The Horn Blows at Midnight
Warner Bros.,Hotel Berlin
Universal Pictures,House of Dracula
Universal Pictures,The House of Fear
Twentieth Century Fox,The House on 92nd Street
Alexander-Stern Productions,I Accuse My Parents
Associated British Picture Corporation (ABPC),I Live in Grosvenor Square
Columbia Pictures,I Love a Mystery
Walter Colmes Productions,Identity Unknown
Paramount Pictures,Incendiary Blonde
RKO Radio Pictures,Isle of the Dead
International Pictures (I),It's a Pleasure
Manhattan Productions,It's in the Bag!
Mosfilm,Ivan Groznyy
Monogram Pictures,The Jade Mask
Republic Pictures (I),Jealousy
RKO Radio Pictures,Johnny Angel
Universal Pictures,The Jungle Captive
Twentieth Century Fox,Junior Miss
Metro-Goldwyn-Mayer (MGM),Keep Your Powder Dry
Paramount Pictures,Kitty
Alexander-Stern Productions,The Lady Confesses
Universal Pictures,Lady on a Train
Twentieth Century Fox,Leave Her to Heaven
Columbia Pictures,Leave It to Blondie
Metro-Goldwyn-Mayer (MGM),A Letter for Evie
Praesens-Film,Die letzte Chance
Paramount Pictures,The Lost Weekend
Hal Wallis Productions,Love Letters
RKO Radio Pictures,Man Alive
Producers Releasing Corporation (PRC),The Man Who Walked Alone
Paramount Pictures,A Medal for Benny
Shochiku,MeitÃ´ bijomaru
Warner Bros.,Mildred Pierce
Twentieth Century Fox,Molly and Me
Columbia Pictures,My Name Is Julia Ross
Societe Nouvelle des Films Marcel Pagnol,NaÃ¯s
Universal Pictures,The Naughty Nineties
Associated British Picture Corporation (ABPC),Night Boat to Dublin
Twentieth Century Fox,Nob Hill
Individual Pictures,The Rake's Progress
Pine-Thomas Productions,Midnight Manhunt
Metro-Goldwyn-Mayer (MGM),Our Vines Have Tender Grapes
Sidney Buchman Enterprises,Over 21
Constance Bennett Productions,Paris Underground
London Film Productions,Perfect Strangers
Film Asociados Mexico-Americanos,La perla
Producers Releasing Corporation (PRC),The Phantom of 42nd Street
Metro-Goldwyn-Mayer (MGM),The Picture of Dorian Gray
Universal Pictures,Pillow of Death
Warner Bros.,Pillow to Post
Ealing Studios,Pink String and Sealing Wax
Larry Darmour Productions,The Power of the Whistler
Warner Bros.,Pride of the Marines
Universal Pictures,Pursuit to Algiers
Monogram Pictures,The Red Dragon
Warner Bros.,Rhapsody in Blue
Paramount Pictures,Road to Utopia
Columbia Pictures,Rockin' in the Rockies
American Productions Inc.,Rogues Gallery
Warner Bros.,Roughly Speaking
Metro-Goldwyn-Mayer (MGM),The Sailor Takes a Wife
Paramount Pictures,Salty O'Rourke
Warner Bros.,Saratoga Trunk
Pine-Thomas Productions,Scared Stiff
Monogram Pictures,The Scarlet Clue
Fritz Lang Productions,Scarlet Street
Monogram Pictures,Sensation Hunters
Monogram Pictures,The Shanghai Cobra
Metro-Goldwyn-Mayer (MGM),She Went to the Races
Columbia Pictures,She Wouldn't Say Yes
RKO Radio Pictures,Sing Your Way Home
Metro-Goldwyn-Mayer (MGM),Son of Lassie
Columbia Pictures,A Song to Remember
Producing Artists,The Southerner
RKO Radio Pictures,The Spanish Main
Selznick International Pictures,Spellbound
Twentieth Century Fox,State Fair
B.G. DeSylva Productions Inc.,The Stork Club
Lester Cowan Productions,Story of G.I. Joe
Charles K. Feldman Group,The Strange Affair of Uncle Harry
Universal Pictures,Strange Confession
Producers Releasing Corporation (PRC),Strange Illusion
Producers Releasing Corporation (PRC),Strangler of the Swamp
Universal Pictures,Sudan
Ã‰cran FranÃ§ais,Sylvie et le fantÃ´me
Sol Lesser Productions,Tarzan and the Amazons
Orbis Film,Il testimone
Gainsborough Pictures,They Were Sisters
Metro-Goldwyn-Mayer (MGM),This Man's Navy
RKO Radio Pictures,Those Endearing Young Charms
Columbia Pictures,A Thousand and One Nights
Metro-Goldwyn-Mayer (MGM),Thrill of a Romance
Twentieth Century Fox,Thunderhead - Son of Flicka
Columbia Pictures,Tonight and Every Night
Toho Company,Tora no o wo fumu otokotachi
Twentieth Century Fox,A Tree Grows in Brooklyn
Metro-Goldwyn-Mayer (MGM),Twice Blessed
RKO Radio Pictures,Two O'Clock Courage
Paramount Pictures,The Unseen
Terra-Filmkunst,Unter den BrÃ¼cken
Republic Pictures (I),Utah
Metro-Goldwyn-Mayer (MGM),The Valley of Decision
Republic Pictures (I),The Vampire's Ghost
Larry Darmour Productions,Voice of the Whistler
Lewis Milestone Productions,A Walk in the Sun
Two Cities Films,The Way to the Stars
Metro-Goldwyn-Mayer (MGM),Week-End at the Waldorf
RKO Radio Pictures,West of the Pecos
Sigmund Neufeld Productions,White Pongo
Gainsborough Pictures,The Wicked Lady
Metro-Goldwyn-Mayer (MGM),Without Love
Walter Colmes Productions,Woman Who Came Back
Universal Pictures,The Woman in Green
The Samuel Goldwyn Company,Wonder Man
Metro-Goldwyn-Mayer (MGM),Yolanda and the Thief
Hal Wallis Productions,You Came Along
Toho Company,Zoku Sugata SanshirÃ´
RKO Radio Pictures,Zombies on Broadway
CinematogrÃ¡fica EspaÃ±ola Americana (CEA),Los Ãºltimos de Filipinas
Twentieth Century Fox,13 Rue Madeleine
Lux Film,Abbasso la ricchezza!
Guild Productions Inc.,Abilene Town
Producers Releasing Corporation (PRC),Accomplice
Individual Pictures,I See a Dark Stranger
Charles R. Rogers Productions,Angel on My Shoulder
Twentieth Century Fox,Anna and the King of Siam
Metro-Goldwyn-Mayer (MGM),Bad Bascomb
RKO Radio Pictures,Badman's Territory
RKO Radio Pictures,The Bamboo Blonde
Lux Film,Il bandito
CoopÃ©rative GÃ©nÃ©rale du CinÃ©ma FranÃ§ais,Bataille du rail
Warner Bros.,The Beast with Five Fingers
Universal Pictures,Because of Him
British National Films,Bedelia
RKO Radio Pictures,Bedlam
Twentieth Century Fox,Behind Green Lights
Warner Bros.,The Big Sleep
Universal Pictures,Black Angel
Edward L. Alperson Productions,Black Beauty
Two Cities Films,Blithe Spirit
Columbia Pictures,Blondie Knows Best
Columbia Pictures,Blondie's Lucky Day
Paramount Pictures,The Blue Dahlia
Columbia Pictures,Boston Blackie and the Law
Monogram Pictures,Bowery Bombshell
Metro-Goldwyn-Mayer (MGM),Boys' Ranch
Paramount Pictures,The Bride Wore Boots
Universal Pictures,The Brute Man
Gabriel Pascal Productions,Caesar and Cleopatra
Paramount Pictures,California
Walter Wanger Productions,Canyon Passage
Ealing Studios,The Captive Heart
Universal Pictures,The Cat Creeps
Republic Pictures (I),The Catman of Paris
Twentieth Century Fox,Centennial Summer
Nero Films,The Chase
Twentieth Century Fox,Claudia and David
Warner Bros.,Cloak and Dagger
Columbia Pictures,A Close Call for Boston Blackie
Twentieth Century Fox,Cluny Brown
Metro-Goldwyn-Mayer (MGM),The Cockeyed Miracle
Metro-Goldwyn-Mayer (MGM),Courage of Lassie
RKO Radio Pictures,Crack-Up
Larry Darmour Productions,Crime Doctor's Man Hunt
Manuel del Castillo,El crimen de la calle de Bordadores
RKO Radio Pictures,Criminal Court
Monogram Pictures,Dangerous Money
Monogram Pictures,Dark Alibi
Twentieth Century Fox,The Dark Corner
International Pictures (I),The Dark Mirror
Warner Bros.,Deception
Bernhard-Brandt Productions,Decoy
Sveriges Folkbiografer,Det regnar pÃ¥ vÃ¥r kÃ¤rlek
Producers Releasing Corporation (PRC),Devil Bat's Daughter
Columbia Pictures,The Devil's Mask
Warner Bros.,Devotion
Transcontinental Films,Le diable au corps
Benedict Bogeaus Production,The Diary of a Chambermaid
RKO Radio Pictures,Dick Tracy vs. Cueball
Sack Amusement Enterprises,Dirty Gertie from Harlem U.S.A.
Nordisk Film,Ditte menneskebarn
Twentieth Century Fox,Do You Love Me
Twentieth Century Fox,Dragonwyck
Universal Pictures,Dressed to Kill
British National Films,Dual Alibi
Panamerican Films S.A.,Enamorada
Hollywood Pictures Corporation (I),The Face of Marble
RKO Radio Pictures,The Falcon's Adventure
RKO Radio Pictures,The Falcon's Alibi
Two Cities Films,Fame Is the Spur
Monogram Pictures,Fear
Golden Gate Pictures,Flight to Nowhere
Sigmund Neufeld Productions,The Flying Serpent
RKO Radio Pictures,From This Day Forward
RKO Radio Pictures,A Game of Death
Columbia Pictures Corporation,Gilda
Cineguild,Great Expectations
Individual Pictures,Green for Danger
Metro-Goldwyn-Mayer (MGM),The Green Years
Metro-Goldwyn-Mayer (MGM),The Harvey Girls
Robert & Raymond Hakim Company,Heartbeat
Republic Pictures (I),Heldorado
Producers Releasing Corporation (PRC),Her Sister's Secret
Loew's,Holiday in Mexico
Republic Pictures (I),Home in Oklahoma
Metro-Goldwyn-Mayer (MGM),The Hoodlum Saint
Universal Pictures,House of Horrors
Warner Bros.,Humoresque
Republic Pictures (I),I've Always Loved You
Films Sacha Gordine,L'idiot
Twentieth Century Fox,If I'm Lucky
Monogram Pictures,In Fast Company
Republic Pictures (I),The Inner Circle
Universal Pictures,Inside Job
Deutsche Film (DEFA),Irgendwo in Berlin
Twentieth Century Fox,It Shouldn't Happen to a Dog
Liberty Films (II),It's a Wonderful Life
Warner Bros.,Janie Gets Married
Columbia Pictures,The Jolson Story
Shochiku,Josei no shÃ´ri
Mosfilm,Kamennyy tsvetok
The Samuel Goldwyn Company,The Kid from Brooklyn
Mark Hellinger Productions,The Killers
Svensk Filmindustri (SF),Kris
RKO Radio Pictures,Lady Luck
Teuvo Tulio,Levoton veri
Columbia Pictures,Life with Blondie
C.S. Productions,Little Giant
Monogram Pictures,Live Wires
RKO Radio Pictures,The Locket
Metro-Goldwyn-Mayer (MGM),Love Laughs at Andy Hardy
Republic Pictures (I),The Madonna's Secret
Hallmark Productions,Magnificent Doll
Warner Bros.,The Man I Love
Twentieth Century Fox,Margie
Alcina,Martin Roumagnac
Producers Releasing Corporation (PRC),The Mask of Diijon
Paramount Pictures,Monsieur Beaucaire
Benedict Bogeaus Production,Mr. Ace
Monogram Pictures,Mr. Hex
Metro-Goldwyn-Mayer (MGM),My Brother Talks to Horses
Twentieth Century Fox,My Darling Clementine
Warner Bros.,My Reputation
Larry Darmour Productions,Mysterious Intruder
Deutsche Film (DEFA),Die MÃ¶rder sind unter uns
Warner Bros.,Never Say Goodbye
Columbia Pictures,Night Editor
Warner Bros.,Night and Day
Loma Vista Productions,A Night in Casablanca
Walter Wanger Productions,Night in Paradise
Warner Bros.,Nobody Lives Forever
RKO Radio Pictures,Nocturne
RKO Radio Pictures,Notorious
Columbia Pictures,The Notorious Lone Wolf
Paramount Pictures,O.S.S.
Warner Bros.,Of Human Bondage
Warner Bros.,One More Tomorrow
Shochiku,Ã”sone-ke no ashita
Producciones Mercurio,La otra
Ealing Studios,The Overlanders
Organizzazione Film Internazionali (OFI),PaisÃ
Filmsonor,Panique
Pine-Thomas Productions,People Are Funny
Columbia Pictures,The Phantom Thief
Associated British Picture Corporation (ABPC),Piccadilly Incident
SociÃ©tÃ© Nouvelle PathÃ© CinÃ©ma,Les portes de la nuit
Metro-Goldwyn-Mayer (MGM),The Postman Always Rings Twice
Tuxan Film,Rakkauden risti
Twentieth Century Fox,The Razor's Edge
Affiliated Productions,Renegade Girl
Columbia Pictures,Renegades
Republic Pictures (I),Roll on Texas Moon
Excelsa Film,Roma cittÃ  aperta
Pao Film,Roma cittÃ  libera
RKO Radio Pictures,San Quentin
Arnold Pressburger Films,A Scandal in Paris
CG Entertainment,SciusciÃ
Metro-Goldwyn-Mayer (MGM),The Secret Heart
Larry Darmour Productions,The Secret of the Whistler
Twentieth Century Fox,Sentimental Journey
Ortus Films,The Seventh Veil
Warner Bros.,Shadow of a Woman
Monogram Pictures,Shadows Over Chinatown
Universal Pictures,She-Wolf of London
Twentieth Century Fox,Shock
Metro-Goldwyn-Mayer (MGM),The Show-Off
RKO Radio Pictures,Sister Kenny
Twentieth Century Fox,Smoky
Larry Darmour Productions,So Dark the Night
